,File Name,1,0,,,
392,comp08-2idx.mps.gz-r2,12.21,7.24,1,1,2
393,comp08-2idx.mps.gz-r3,9.77,10.8,1,1,2
394,comp08-2idx.mps.gz-r4,9.14,9.98,1,1,2
395,comp21-2idx.mps.gz-r0,2775.46,6501.73,1,1,2
396,comp21-2idx.mps.gz-r1,3041.28,4405.18,1,1,2
397,comp21-2idx.mps.gz-r2,2767.49,7200.01,1,0,1
398,comp21-2idx.mps.gz-r3,2958.39,7200.01,1,0,1
399,comp21-2idx.mps.gz-r4,3781.63,4923.85,1,1,2
400,core2536-691.mps.gz-r0,43.91,81.21,1,1,2
401,core2536-691.mps.gz-r1,113.12,49.94,1,1,2
402,core2536-691.mps.gz-r2,92.43,71.02,1,1,2
403,core2536-691.mps.gz-r3,88.27,37,1,1,2
404,core2536-691.mps.gz-r4,42.88,99.42,1,1,2
405,cost266-UUE.mps.gz-r0,416.86,322.16,1,1,2
406,cost266-UUE.mps.gz-r1,476.13,412.51,1,1,2
407,cost266-UUE.mps.gz-r2,478.83,264.19,1,1,2
408,cost266-UUE.mps.gz-r3,495.91,331.49,1,1,2
409,cost266-UUE.mps.gz-r4,463.41,346.02,1,1,2
410,cryptanalysiskb128n5obj14.mps.gz-r0,2161.17,3036.76,1,1,2
411,cryptanalysiskb128n5obj14.mps.gz-r1,3039.07,3142.8,1,1,2
412,cryptanalysiskb128n5obj14.mps.gz-r2,3602.87,2998.06,1,1,2
413,cryptanalysiskb128n5obj14.mps.gz-r3,3807.03,3711.82,1,1,2
414,cryptanalysiskb128n5obj14.mps.gz-r4,3714.78,4501.62,1,1,2
415,cryptanalysiskb128n5obj16.mps.gz-r0,909.32,929.82,1,1,2
416,cryptanalysiskb128n5obj16.mps.gz-r1,966.38,941.22,1,1,2
417,cryptanalysiskb128n5obj16.mps.gz-r2,979.24,944.82,1,1,2
418,cryptanalysiskb128n5obj16.mps.gz-r3,957.57,963.87,1,1,2
419,cryptanalysiskb128n5obj16.mps.gz-r4,975.3,935.86,1,1,2
420,csched007.mps.gz-r0,176.68,185.61,1,1,2
421,csched007.mps.gz-r1,247.42,289.74,1,1,2
422,csched007.mps.gz-r2,250.22,240.05,1,1,2
423,csched007.mps.gz-r3,279.53,149.36,1,1,2
424,csched007.mps.gz-r4,231.01,175.25,1,1,2
425,csched008.mps.gz-r0,590.15,94.95,1,1,2
426,csched008.mps.gz-r1,119,89.57,1,1,2
427,csched008.mps.gz-r2,289.04,348.47,1,1,2
428,csched008.mps.gz-r3,227.53,52.9,1,1,2
429,csched008.mps.gz-r4,140.61,90.94,1,1,2
430,csched010.mps.gz-r0,177.61,171.55,1,1,2
431,csched010.mps.gz-r1,185.38,167.93,1,1,2
432,csched010.mps.gz-r2,204.94,221.86,1,1,2
433,csched010.mps.gz-r3,195.94,124.31,1,1,2
434,csched010.mps.gz-r4,209.11,115.11,1,1,2
435,cvrpsimple2i.mps.gz-r0,41.82,16.92,1,1,2
436,cvrpsimple2i.mps.gz-r1,39.19,15.06,1,1,2
437,cvrpsimple2i.mps.gz-r2,23.61,19.49,1,1,2
438,cvrpsimple2i.mps.gz-r3,52.12,23.36,1,1,2
