File Name,RoundingHeurLevel-0,RootCutLevel-1,StrongBranching-1,StrongBranching-0,RoundingHeurLevel-1,RootCutLevel-0,TreeCutLevel-0,DivingHeurLevel-1,TreeCutLevel-1,SubMipHeurLevel-1,SubMipHeurLevel-0,MipLogLevel-2,DivingHeurLevel-0
load_balancing_519,2675.23,1456.61,775.2,802.34,944.84,3600.05,1052.79,837.79,844.77,1155.39,1080.25,845.27,813.9
load_balancing_52,3465.49,3600.02,3600.03,3342.31,3600.03,3600.02,3600.04,3600.03,3600.03,3600.02,3600.03,3536.73,3600.02
load_balancing_520,2903.77,3095.18,2385.72,3057.68,3424.29,3600.05,3600.02,3268.47,3600.06,3411.66,2702.62,3129.29,3600.03
load_balancing_521,3600.03,3600.02,3600.04,3570.0,3600.02,3600.04,3600.04,3600.03,3600.04,3600.03,3600.03,3600.03,3600.03
load_balancing_522,2283.21,3600.03,3105.53,2318.25,2112.35,3600.02,3600.02,2682.64,3600.02,1560.64,977.32,2395.75,2803.08
load_balancing_523,1796.95,1918.17,1647.93,1544.32,1881.42,3600.03,2921.02,1775.18,3532.67,1676.98,1752.15,1701.31,1839.82
load_balancing_524,1241.72,994.0,1157.8,676.51,1175.56,3600.03,1433.04,1410.52,1268.1,945.69,1195.91,1285.59,1084.02
load_balancing_525,1405.69,572.18,632.41,755.56,624.16,3600.02,697.19,707.58,690.48,473.99,760.93,659.66,670.94
load_balancing_526,3600.03,3473.67,3600.03,3430.31,3600.05,3600.03,3600.04,3600.02,3600.03,3599.5,3600.02,3600.02,3600.03
load_balancing_53,3600.02,1146.22,945.57,1001.77,1116.03,3600.05,1056.42,1112.25,2226.25,1123.79,1071.55,1094.85,1142.74
load_balancing_530,3600.05,3600.03,3600.02,3586.87,3600.03,3600.06,3600.02,3600.03,3600.05,3600.03,3600.02,3600.03,3600.02
load_balancing_531,2474.22,3283.99,3600.02,2414.96,1842.59,3600.02,2340.57,1770.65,3600.01,3600.02,1393.19,3600.02,2674.03
load_balancing_533,1006.09,244.45,380.51,351.8,408.43,3600.05,922.15,441.11,373.12,393.38,1395.81,396.26,407.57
load_balancing_534,3600.02,2371.88,3600.05,3600.02,3600.02,3600.05,3600.02,3600.02,3600.03,3600.02,3600.02,1875.31,3600.02
load_balancing_535,3002.8,2368.26,2255.85,2308.97,3135.59,3600.02,3552.16,3600.05,3600.04,2151.41,3064.49,2078.35,2231.46
load_balancing_536,3271.06,3055.01,3218.26,2593.48,3293.19,3600.04,3245.25,3600.02,3474.05,3421.05,3123.54,3157.46,3462.0
load_balancing_537,3600.02,3600.02,3141.44,2920.84,3600.03,3600.03,3600.03,3600.03,3600.03,3600.02,3281.99,3600.02,3600.03
load_balancing_539,2038.41,2263.57,2051.6,2021.71,2047.66,3600.03,2408.02,2204.09,1853.65,2083.7,2099.59,2189.99,2092.92
load_balancing_54,1707.22,1634.85,1646.14,1370.93,859.86,3600.05,1006.48,1328.07,3600.02,701.72,1867.71,825.89,1428.45
load_balancing_540,674.94,2438.13,1143.11,802.77,780.5,3600.05,1292.9,393.97,1014.97,469.38,811.52,940.15,463.69
