File Name,MipLogLevel-2,RootCutLevel-0,RoundingHeurLevel-0,DivingHeurLevel-0,StrongBranching-0,SubMipHeurLevel-0,RoundingHeurLevel-1,RootCutLevel-1,TreeCutLevel-1,TreeCutLevel-0,StrongBranching-1,SubMipHeurLevel-1,DivingHeurLevel-1
train_600_4_instance_3386,0.62,0.54,0.58,0.56,0.4,0.59,0.45,0.37,0.42,0.51,0.5,0.57,0.48
train_600_4_instance_3411,0.65,0.76,0.64,0.6,0.65,0.63,0.62,0.54,0.64,0.64,0.8,0.67,0.85
train_600_4_instance_3528,0.95,0.92,1.01,1.05,0.77,0.75,1.07,0.94,1.05,1.07,0.94,0.87,0.99
train_600_4_instance_360,0.31,0.91,0.33,0.33,0.27,0.27,0.3,0.3,0.38,0.29,0.28,0.33,0.3
train_600_4_instance_3660,0.21,0.27,0.23,0.21,0.25,0.2,0.23,0.21,0.21,0.21,0.22,0.26,0.22
train_600_4_instance_3674,0.29,0.52,0.29,0.3,0.27,0.26,0.28,0.32,0.29,0.35,0.3,0.27,0.33
train_600_4_instance_3695,0.67,0.63,0.52,0.51,0.58,0.51,0.47,0.39,0.33,0.54,0.52,0.59,0.52
train_600_4_instance_3708,0.58,0.47,0.54,0.58,0.53,0.53,0.75,0.43,0.52,0.62,0.6,0.53,0.6
train_600_4_instance_3711,3.36,2.85,3.33,3.1,3.85,3.57,3.36,2.43,3.78,3.45,3.09,3.08,3.18
train_600_4_instance_3749,0.67,1.05,0.83,0.69,0.65,0.73,0.71,0.52,0.73,0.7,0.69,0.69,0.88
train_600_4_instance_3795,2.24,2.3,1.98,2.01,2.36,1.75,1.95,1.81,2.09,1.97,2.0,1.77,1.9
train_600_4_instance_380,1.12,2.45,1.11,1.22,0.67,1.16,1.09,0.97,1.2,1.18,1.18,1.24,1.21
train_600_4_instance_3853,0.66,1.09,0.66,0.68,0.75,0.69,0.66,0.85,0.7,0.71,0.85,0.64,0.65
train_600_4_instance_3878,0.82,0.61,0.67,0.77,0.63,0.85,0.82,0.67,0.98,0.85,0.7,0.76,0.88
train_600_4_instance_39,0.27,0.27,0.26,0.27,0.27,0.27,0.24,0.27,0.26,0.24,0.24,0.24,0.25
train_600_4_instance_3915,1.63,2.24,1.75,2.01,1.33,1.96,1.66,1.11,1.16,1.72,1.65,1.72,1.96
train_600_4_instance_3922,1.13,1.81,1.18,1.27,0.97,0.81,1.15,1.13,0.78,1.13,1.16,0.81,1.16
train_600_4_instance_3998,0.52,0.65,0.54,0.5,0.56,0.56,0.56,0.5,0.58,0.63,0.59,0.6,0.54
train_600_4_instance_443,1.92,1.67,1.91,2.16,1.14,1.31,1.98,1.09,1.15,2.06,2.14,1.38,1.95
train_600_4_instance_457,1.67,2.86,1.65,1.65,1.88,1.49,1.66,1.59,1.39,1.72,1.63,1.69,1.83
train_600_4_instance_558,1.22,1.82,1.21,1.35,1.04,1.14,1.27,0.95,1.21,1.46,1.28,1.2,1.32
train_600_4_instance_648,0.24,0.27,0.22,0.22,0.22,0.22,0.22,0.2,0.22,0.21,0.23,0.22,0.22
train_600_4_instance_673,0.71,0.5,0.57,0.57,0.57,0.5,0.67,0.42,0.6,0.71,0.75,0.55,0.57
train_600_4_instance_732,1.38,3.11,1.28,1.32,1.02,1.47,1.28,1.54,1.33,1.27,1.29,1.45,1.42
train_600_4_instance_744,1.74,1.62,1.66,1.5,1.26,1.46,1.71,1.39,1.49,1.95,1.7,1.15,1.8
train_600_4_instance_768,1.04,1.25,0.92,0.94,0.75,0.99,0.9,0.83,0.81,0.9,1.06,1.05,0.96
train_600_4_instance_8,0.65,0.63,0.71,0.57,0.34,0.48,0.53,0.47,0.6,0.73,0.57,0.42,0.72
train_600_4_instance_87,0.26,0.43,0.32,0.28,0.32,0.23,0.26,0.26,0.35,0.28,0.28,0.35,0.35
train_600_4_instance_880,0.79,1.07,0.9,0.74,0.84,0.76,0.93,0.83,0.88,0.77,0.77,1.09,0.78
train_600_4_instance_890,0.53,0.48,0.54,0.52,0.7,0.46,0.71,0.58,0.63,0.52,0.53,0.51,0.78
train_600_4_instance_96,0.63,0.82,0.62,0.62,0.7,0.55,0.77,0.54,0.73,0.63,0.63,0.58,0.62
train_600_8_instance_2206,643.75,720.0,641.09,622.16,720.0,695.82,631.89,626.66,720.0,720.0,702.59,636.03,684.28
valid_1200_4_instance_226,1.19,4.15,1.39,1.29,1.3,1.11,1.15,1.03,1.33,1.22,1.2,1.26,1.19
valid_1200_4_instance_234,19.51,39.75,21.06,19.67,16.02,19.33,20.52,22.2,15.67,20.46,19.54,20.12,19.71
valid_1200_4_instance_313,73.4,720.0,73.22,80.49,118.72,82.5,73.41,68.7,64.43,74.96,80.63,71.38,78.05
valid_1200_4_instance_447,37.38,341.63,36.66,37.02,84.09,38.16,36.35,33.24,32.87,32.63,35.1,33.73,36.78
valid_1200_4_instance_487,22.98,69.01,23.41,19.19,19.45,16.75,23.48,27.82,25.42,17.32,23.17,19.25,19.56
valid_1200_4_instance_49,76.94,720.0,75.34,119.7,121.6,99.95,75.96,78.49,77.61,86.69,73.03,98.62,119.23
valid_1200_4_instance_545,27.2,166.22,27.53,25.5,22.87,30.15,28.16,32.73,24.6,26.85,28.18,32.05,26.88
valid_1200_4_instance_568,19.63,39.72,20.74,21.62,33.79,20.54,19.59,18.01,21.61,19.99,20.03,19.87,19.47
valid_1200_4_instance_677,13.76,15.75,13.84,15.25,8.12,14.2,14.64,9.42,12.57,15.23,13.79,15.52,14.1
valid_1200_4_instance_698,6.72,15.58,7.3,5.99,4.96,7.04,6.17,6.11,5.47,6.8,6.78,6.65,5.84
valid_1200_4_instance_769,6.27,35.47,5.4,5.55,4.74,4.83,5.63,5.39,5.49,5.43,6.64,4.89,6.7
valid_1200_4_instance_859,6.75,24.17,7.28,7.9,5.91,5.67,6.83,4.86,4.54,6.98,7.51,5.38,7.64
valid_1200_4_instance_889,4.67,14.27,4.49,4.72,3.32,5.49,4.48,3.13,2.78,4.78,4.41,4.95,4.64
valid_1200_4_instance_893,14.23,50.74,14.05,14.22,17.44,11.79,13.71,21.78,13.74,12.29,14.1,11.4,12.9
valid_1200_4_instance_950,8.16,13.81,8.37,8.13,9.09,7.57,8.23,9.26,5.9,9.36,8.13,7.74,8.19
valid_1200_4_instance_985,27.91,351.72,26.87,25.16,23.1,25.74,26.98,28.14,25.6,27.98,26.83,25.92,27.18
valid_150_16_instance_157,0.89,0.68,0.75,0.77,0.84,0.74,0.85,0.86,0.87,0.7,0.81,0.75,0.77
valid_150_16_instance_190,1.1,1.04,1.11,1.14,1.6,1.09,1.07,0.99,1.34,1.08,1.16,1.3,1.23
valid_150_16_instance_232,2.09,0.87,2.15,1.39,1.92,1.48,2.17,1.14,1.42,2.28,2.14,1.77,1.47
valid_150_16_instance_256,2.68,1.91,2.43,2.31,2.86,2.35,2.46,1.8,1.72,1.72,2.46,2.26,2.27
valid_150_16_instance_306,2.67,2.27,2.85,2.67,4.47,2.66,2.65,2.43,2.29,2.68,2.64,2.51,2.54
valid_150_16_instance_339,1.73,1.56,1.74,1.57,2.44,1.63,1.68,1.64,1.84,1.5,1.76,1.59,1.76
valid_150_16_instance_369,1.83,1.37,1.83,1.82,2.06,1.51,1.9,2.2,1.64,1.57,1.87,1.73,1.75
valid_150_16_instance_370,1.37,0.99,1.31,1.37,2.29,1.18,1.45,1.33,1.48,1.26,1.51,1.2,1.36
valid_150_16_instance_436,0.88,0.86,0.86,0.89,1.94,0.84,0.91,1.09,0.98,1.12,0.87,0.87,0.84
valid_150_16_instance_451,0.95,0.62,0.93,0.88,0.68,0.77,1.16,0.73,1.04,0.81,1.11,1.03,0.85
valid_150_16_instance_484,0.98,0.72,1.11,1.24,1.45,0.97,1.26,0.81,1.09,0.88,1.23,0.93,1.23
valid_150_16_instance_523,1.12,0.71,1.04,1.08,0.94,1.15,1.07,0.92,1.18,1.03,0.99,1.18,1.0
valid_150_16_instance_6,0.96,0.9,0.93,0.97,1.47,1.11,0.97,0.95,1.05,0.92,0.95,1.14,0.92
valid_150_16_instance_608,1.17,0.83,0.95,0.81,1.3,1.02,0.95,0.99,0.83,0.86,0.94,0.99,0.8
valid_150_16_instance_685,2.53,1.91,2.54,1.76,1.99,2.48,2.44,1.91,1.9,1.36,2.62,2.37,2.01
valid_150_16_instance_711,1.61,0.99,1.52,1.05,1.39,1.16,1.54,1.11,1.3,1.09,1.48,1.39,0.98
valid_150_16_instance_73,2.84,1.3,2.84,2.04,3.25,2.35,3.17,2.05,2.35,2.46,2.8,2.67,2.19
valid_150_16_instance_817,1.32,0.96,1.15,1.2,1.65,1.23,1.25,1.05,1.01,1.0,1.28,1.17,1.46
valid_150_16_instance_819,1.28,1.06,1.3,1.18,1.6,1.11,1.28,1.37,1.59,1.12,1.4,1.17,1.12
valid_150_16_instance_865,1.3,1.2,1.25,1.17,1.59,1.11,1.23,1.35,1.34,1.18,1.31,1.09,1.19
valid_150_2_instance_101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
valid_150_2_instance_394,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01
valid_150_2_instance_631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
valid_150_2_instance_876,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
valid_150_32_instance_116,0.18,0.17,0.17,0.18,0.17,0.16,0.18,0.17,0.18,0.18,0.18,0.15,0.18
valid_150_32_instance_118,0.15,0.16,0.15,0.15,0.15,0.15,0.13,0.16,0.16,0.14,0.16,0.11,0.15
valid_150_32_instance_13,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13
valid_150_32_instance_155,0.11,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.13,0.12,0.13,0.12
valid_150_32_instance_201,0.16,0.17,0.14,0.17,0.15,0.16,0.17,0.17,0.16,0.17,0.17,0.17,0.16
valid_150_32_instance_227,0.17,0.17,0.16,0.17,0.19,0.15,0.17,0.18,0.18,0.19,0.18,0.17,0.17
valid_150_32_instance_241,0.13,0.14,0.13,0.12,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.13,0.13
valid_150_32_instance_274,0.22,0.19,0.21,0.21,0.21,0.2,0.17,0.22,0.2,0.19,0.21,0.21,0.21
valid_150_32_instance_369,0.16,0.18,0.18,0.17,0.16,0.16,0.18,0.15,0.17,0.18,0.17,0.17,0.17
valid_150_32_instance_425,0.13,0.14,0.15,0.14,0.14,0.15,0.13,0.14,0.13,0.14,0.14,0.14,0.13
valid_150_32_instance_464,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
valid_150_32_instance_478,0.12,0.12,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.1,0.12
valid_150_32_instance_5,0.16,0.19,0.16,0.15,0.18,0.18,0.18,0.17,0.18,0.18,0.14,0.18,0.17
valid_150_32_instance_516,0.17,0.2,0.17,0.17,0.17,0.16,0.17,0.15,0.16,0.17,0.18,0.17,0.17
valid_150_32_instance_517,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
valid_150_32_instance_57,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.17
