File Name,MipLogLevel-2,SubMipHeurLevel-0,SubMipHeurLevel-1,RootCutLevel-0
test_200r_6400c_0.05d_instance_494,0.17,0.11,0.11,0.16
test_200r_6400c_0.25d_instance_166,0.19,0.1,0.19,0.19
test_200r_6400c_0.25d_instance_25,0.3,0.15,0.22,0.31
test_200r_6400c_0.25d_instance_257,0.29,0.14,0.21,0.28
test_200r_6400c_0.25d_instance_343,0.33,0.17,0.31,0.29
test_200r_6400c_0.25d_instance_359,0.2,0.11,0.19,0.17
test_200r_6400c_0.25d_instance_375,0.31,0.12,0.16,0.29
test_200r_6400c_0.25d_instance_395,0.35,0.17,0.28,0.3
test_200r_6400c_0.25d_instance_414,0.43,0.15,0.35,0.42
test_200r_6400c_0.25d_instance_433,0.35,0.15,0.33,0.29
test_200r_6400c_0.25d_instance_470,0.2,0.11,0.17,0.17
test_200r_6400c_0.25d_instance_82,0.25,0.14,0.2,0.27
test_200r_6400c_0.25d_instance_97,0.26,0.14,0.29,0.23
test_200r_800c_0.01d_instance_33,0.02,0.02,0.01,0.02
test_200r_800c_0.05d_instance_200,0.19,0.07,0.07,0.19
test_200r_800c_0.05d_instance_205,0.29,0.13,0.36,0.28
test_200r_800c_0.05d_instance_218,0.24,0.06,0.07,0.25
test_200r_800c_0.05d_instance_219,0.41,0.16,0.4,0.24
test_200r_800c_0.05d_instance_248,0.15,0.09,0.1,0.17
test_200r_800c_0.05d_instance_256,0.28,0.15,0.2,0.24
test_200r_800c_0.05d_instance_280,0.2,0.07,0.07,0.21
test_200r_800c_0.05d_instance_297,0.4,0.16,0.37,0.31
test_200r_800c_0.05d_instance_327,0.24,0.09,0.18,0.23
test_200r_800c_0.05d_instance_36,0.31,0.09,0.15,0.24
test_200r_800c_0.05d_instance_40,0.44,0.17,0.22,0.32
test_200r_800c_0.05d_instance_407,0.24,0.1,0.1,0.22
test_200r_800c_0.05d_instance_482,0.02,0.03,0.03,0.03
test_200r_800c_0.05d_instance_5,0.16,0.09,0.09,0.15
test_200r_800c_0.05d_instance_77,0.23,0.12,0.1,0.24
test_200r_800c_0.25d_instance_147,0.25,0.13,0.26,0.29
test_200r_800c_0.25d_instance_26,0.32,0.13,0.3,0.3
test_200r_800c_0.25d_instance_290,0.23,0.14,0.12,0.17
test_200r_800c_0.25d_instance_369,0.19,0.09,0.13,0.16
test_200r_800c_0.25d_instance_435,0.34,0.19,0.35,0.28
test_200r_800c_0.25d_instance_46,0.3,0.1,0.2,0.26
test_200r_800c_0.25d_instance_462,0.41,0.13,0.44,0.23
test_200r_800c_0.25d_instance_488,0.26,0.1,0.11,0.24
test_200r_800c_0.25d_instance_88,0.32,0.12,0.26,0.21
