File Name,default,TreeCutLevel-1,RootCutLevel-1,TreeCutLevel-0
test_7214.proto,9.29,10.46,6.69,9.31
test_7254.proto,1.18,1.12,1.21,1.26
test_7258.proto,6.21,1.91,2.23,6.3
test_7266.proto,2.86,8.66,2.47,2.65
test_728.proto,2.9,2.41,2.43,2.86
test_7333.proto,4.58,4.94,7.76,4.52
test_7395.proto,3.1,2.1,2.46,2.95
test_7431.proto,24.25,5.19,18.96,21.57
test_744.proto,2.03,1.93,1.86,2.16
test_7457.proto,8.08,7.5,9.19,8.3
test_7481.proto,38.36,83.5,85.13,79.08
test_7490.proto,2.05,2.31,2.03,2.14
test_751.proto,4.38,4.92,5.13,4.29
test_7554.proto,8.9,7.92,7.46,6.89
test_7555.proto,18.55,16.49,6.19,13.93
test_7569.proto,2.39,2.36,2.08,2.24
test_7571.proto,1.2,1.03,1.02,1.18
test_7603.proto,7.56,7.82,5.74,7.62
test_7609.proto,1.89,1.77,1.78,1.93
test_7671.proto,3.19,6.68,2.91,2.95
test_7715.proto,3.6,7.6,10.22,3.98
test_772.proto,0.87,1.56,0.91,0.94
test_7772.proto,7.75,7.8,6.49,7.53
test_7793.proto,1.49,1.71,1.44,1.46
test_7808.proto,12.9,10.68,11.7,9.78
test_7858.proto,0.23,0.24,0.25,0.25
test_7886.proto,1.15,1.49,1.09,1.15
test_791.proto,4.5,3.64,4.25,4.82
test_7912.proto,3.37,3.39,3.11,2.76
test_8033.proto,3.88,2.12,3.97,4.44
test_8082.proto,2.48,2.55,2.32,2.43
test_8153.proto,3.26,3.91,3.08,3.37
test_8185.proto,1.99,2.24,1.47,2.01
test_8224.proto,2.5,2.03,1.93,2.54
test_8225.proto,7.88,4.9,10.99,6.98
test_8254.proto,8.18,7.08,4.96,6.79
test_8315.proto,1.28,1.75,1.32,1.32
test_8320.proto,1.68,1.72,1.68,1.68
test_8327.proto,5.8,11.82,3.83,5.98
test_8335.proto,18.34,29.49,17.64,13.07
test_838.proto,2.05,2.21,1.74,2.16
test_8447.proto,5.76,11.43,7.05,7.29
test_8448.proto,4.87,3.79,4.8,4.83
test_8456.proto,12.01,9.68,10.33,10.62
test_8508.proto,6.96,1.66,5.92,6.81
test_8513.proto,6.99,4.38,5.07,6.07
test_8514.proto,3.21,3.68,3.09,3.16
test_8558.proto,18.14,12.0,11.73,24.95
test_8561.proto,2.29,8.41,8.28,2.26
test_8588.proto,1.53,1.54,1.51,1.56
test_8615.proto,13.83,11.12,12.39,12.34
test_8655.proto,13.09,9.32,3.73,10.11
test_867.proto,4.81,4.0,2.38,4.92
test_8755.proto,2.91,3.08,2.84,5.96
test_879.proto,2.41,2.33,2.12,2.43
test_885.proto,4.17,4.05,4.59,4.05
test_888.proto,14.07,11.37,9.61,8.76
test_8883.proto,3.87,3.86,7.55,3.85
test_8923.proto,7.0,9.36,9.91,6.63
test_893.proto,1.49,1.51,1.43,1.51
test_8965.proto,0.35,0.35,0.31,0.31
test_8970.proto,26.64,56.79,13.22,15.79
test_9062.proto,5.69,14.74,12.04,11.01
test_9064.proto,1.33,1.69,1.17,1.35
test_9065.proto,8.98,8.27,3.94,7.76
test_9114.proto,0.86,1.21,0.85,0.81
test_9151.proto,1.47,1.16,1.09,1.46
test_9394.proto,11.77,6.92,18.8,10.77
test_9442.proto,18.73,8.76,13.54,4.97
test_9513.proto,9.76,7.94,5.67,9.59
test_9517.proto,3.51,1.94,2.57,3.63
test_9527.proto,2.69,3.71,3.42,2.75
test_9553.proto,1.41,1.17,1.27,1.37
test_9560.proto,16.42,5.95,7.56,9.3
test_9601.proto,1.46,2.48,1.84,1.52
test_9616.proto,0.25,0.27,0.26,0.25
test_9624.proto,6.77,10.63,6.1,6.79
test_9627.proto,0.39,0.38,0.4,0.38
test_9629.proto,37.85,14.52,7.18,29.6
test_9636.proto,180.01,180.0,180.01,180.02
