File Name,default,TreeCutLevel1,RootCutLevel1,RoundingHeurLevel1,StrongBranching1,SubmipHeurLevel1,DivingHeurLevel1
rc203.25.3,300.0,230.39,300.01,300.0,300.0,300.01,300.01
rc203.25.5,105.55,28.72,38.13,104.8,114.57,49.07,53.35
rc203.30.10,300.01,300.01,228.95,300.01,275.24,300.02,200.57
rc203.30.15,300.01,300.02,300.02,300.03,300.02,300.01,251.29
rc203.30.20,30.93,300.02,55.25,30.31,37.25,99.63,148.07
rc203.30.25,4.45,4.51,3.62,4.5,4.33,16.78,4.54
rc203.30.3,0.44,0.45,0.45,0.43,0.47,0.46,0.45
rc203.30.5,300.02,300.01,300.01,300.04,300.03,300.01,300.01
rc203.40.3,0.37,0.32,0.38,0.35,0.37,0.34,0.31
rc203.40.5,300.01,300.0,300.01,300.02,300.02,300.01,300.01
rc203.50.10,300.04,300.02,300.01,300.05,300.16,300.0,300.04
rc203.50.15,300.04,300.04,300.04,300.05,300.02,300.02,300.09
rc203.50.20,300.05,300.04,300.04,300.04,300.06,300.1,300.06
rc203.50.25,300.13,300.06,300.07,300.04,300.12,300.05,300.07
rc203.75.10,300.05,300.05,300.06,300.05,300.04,300.04,300.07
rc203.75.15,300.07,300.07,300.07,300.05,300.08,300.15,300.07
rc203.75.20,300.14,300.03,300.08,300.2,300.16,300.16,300.12
rc203.75.25,300.22,300.15,300.13,300.15,300.19,300.19,300.16
rc204.100.10,300.07,300.12,300.12,300.08,300.03,300.11,300.03
rc204.100.15,300.23,300.09,300.07,300.37,300.21,300.08,300.07
rc204.100.20,300.43,300.18,300.13,300.08,300.18,300.26,300.22
rc204.100.25,300.2,300.18,300.22,300.22,300.31,300.32,300.22
rc204.25.3,4.67,4.1,5.96,4.63,4.56,25.52,4.94
rc204.25.5,11.95,7.88,28.73,11.7,12.65,10.41,11.15
rc204.30.10,300.01,300.01,300.01,300.01,300.01,300.01,300.01
rc204.30.15,300.01,300.01,300.01,300.01,300.02,300.04,300.02
rc204.30.20,300.01,300.01,300.01,300.02,64.79,300.02,300.02
rc204.30.25,6.15,5.51,4.55,6.14,6.16,5.52,6.18
rc204.30.3,0.51,0.49,0.52,0.54,0.52,0.49,0.57
rc204.30.5,300.01,300.01,300.01,300.01,300.01,300.01,300.01
rc204.40.3,0.41,0.4,0.45,0.41,0.42,0.43,0.39
rc204.40.5,300.02,300.01,300.01,300.02,300.03,300.02,300.02
rc204.50.10,300.05,300.05,300.03,300.01,300.01,300.03,300.03
rc204.50.15,300.03,300.05,300.04,300.06,300.02,300.03,300.02
rc204.50.20,300.05,300.05,300.04,300.1,300.04,300.04,300.02
rc204.50.25,300.07,300.08,300.06,300.05,300.07,300.04,300.05
rc204.75.10,300.09,300.05,300.05,300.09,300.09,300.13,300.05
rc204.75.15,300.15,300.07,300.09,300.07,300.08,300.1,300.22
rc204.75.20,300.14,300.09,300.08,300.1,300.1,300.18,300.11
rc204.75.25,300.06,300.15,300.09,300.16,300.15,300.06,300.14
rc205.100.10,300.01,300.05,300.03,300.01,300.01,300.03,300.02
rc205.100.15,300.26,300.08,300.11,300.24,300.1,300.12,300.17
rc205.100.20,300.16,300.12,300.19,300.06,300.18,300.17,300.12
rc205.100.25,300.18,300.19,300.16,300.16,300.19,300.2,300.22
rc205.25.3,2.84,1.48,1.87,2.85,2.91,1.39,3.0
rc205.25.5,2.9,2.0,3.54,2.41,2.92,2.06,3.02
rc205.30.10,21.87,20.49,27.2,21.85,22.84,23.52,60.44
rc205.30.15,15.12,20.52,102.35,15.28,18.83,28.31,16.27
rc205.30.20,11.96,21.71,15.22,11.98,13.18,12.12,10.01
rc205.30.25,8.7,7.48,6.65,8.35,8.62,8.34,7.75
rc205.30.3,0.29,0.26,0.29,0.3,0.28,0.31,0.31
rc205.30.5,3.99,7.92,18.53,4.09,4.07,5.48,4.1
rc205.40.3,0.37,0.41,0.41,0.37,0.4,0.39,0.37
rc205.40.5,300.01,300.01,300.01,300.01,300.03,300.04,300.01
rc205.50.10,300.06,300.03,300.03,300.03,300.03,300.04,300.04
rc205.50.15,300.04,300.03,300.05,300.02,300.03,300.03,300.05
