File Name,default,SubMipHeurLevel-1,StrongBranching-0,StrongBranching-1
load_balancing_1374,633.0,589.6,549.26,538.47
load_balancing_1375,987.82,1057.56,1019.63,752.38
load_balancing_1376,668.8,631.91,556.85,616.12
load_balancing_1377,438.56,438.96,410.08,399.51
load_balancing_1378,3600.06,3600.03,3600.02,3600.02
load_balancing_138,2807.67,2649.58,2011.64,2678.13
load_balancing_1380,1259.19,1261.11,1323.66,1432.72
load_balancing_1382,665.53,916.1,695.36,751.12
load_balancing_1383,1523.85,1379.3,1434.88,1320.5
load_balancing_1384,3600.03,3600.02,2995.8,3600.02
load_balancing_1385,535.08,508.45,850.01,490.6
load_balancing_1386,634.02,591.35,1127.21,1202.35
load_balancing_1388,1713.64,1228.27,892.46,1583.01
load_balancing_139,3600.02,3600.03,1883.4,3600.02
load_balancing_1391,1997.2,1912.05,3110.31,2003.17
load_balancing_1392,1945.69,1330.59,1426.66,1731.73
load_balancing_1393,1879.2,957.4,1281.34,1493.15
load_balancing_1394,2710.4,2912.52,1590.88,2096.9
load_balancing_1395,2076.63,1201.42,998.19,1109.71
load_balancing_1397,382.99,406.72,371.47,299.04
load_balancing_1398,1418.1,1446.47,948.58,1520.33
load_balancing_1399,1350.19,2172.02,1204.55,1269.82
load_balancing_140,1440.29,733.45,1167.12,1372.79
load_balancing_1400,1928.99,995.75,3600.04,964.97
load_balancing_1401,459.1,482.25,358.29,391.24
load_balancing_1402,416.79,355.45,454.98,520.05
load_balancing_1403,537.74,483.57,525.46,556.66
load_balancing_1404,1267.21,1601.71,1321.44,1217.86
load_balancing_1405,582.94,533.15,490.4,616.84
load_balancing_1406,753.79,3600.02,530.7,1850.86
load_balancing_1407,1551.61,1334.16,1218.76,1601.84
load_balancing_1408,2749.14,2254.49,2486.12,2407.7
load_balancing_1409,2658.53,2831.54,2574.19,2540.87
load_balancing_1410,523.76,506.59,531.56,559.8
load_balancing_1411,2639.39,3451.83,2577.72,2866.44
load_balancing_1412,2146.11,1701.02,1334.06,1625.17
load_balancing_1413,927.76,785.39,769.6,1078.51
load_balancing_1414,3074.43,3064.99,2875.49,2404.58
load_balancing_1415,859.3,831.32,720.71,858.58
load_balancing_1416,222.75,188.57,229.37,219.6
load_balancing_1417,578.19,572.13,470.43,556.49
load_balancing_1418,953.17,1814.57,763.1,577.32
load_balancing_1419,1471.98,1344.37,889.27,1805.08
load_balancing_142,144.58,143.74,178.17,142.59
load_balancing_1420,3248.02,2678.96,1603.03,2701.44
load_balancing_1421,2109.49,2767.79,2460.48,2501.1
load_balancing_1422,3260.04,3119.18,3600.01,3446.2
load_balancing_1423,503.24,363.37,390.31,417.91
load_balancing_1424,1063.77,767.0,990.86,1060.32
load_balancing_1425,1336.21,850.63,938.88,1324.02
load_balancing_1426,803.26,840.65,667.76,756.14
load_balancing_1427,336.96,328.11,580.72,329.27
load_balancing_1428,1367.2,1205.77,985.04,1290.81
load_balancing_1429,988.44,754.06,693.68,701.89
load_balancing_143,3195.54,3103.62,3600.02,3102.26
load_balancing_1430,1285.93,1876.19,1073.4,1123.66
load_balancing_1433,252.42,352.06,1666.4,485.58
load_balancing_1435,635.87,601.51,462.34,595.04
load_balancing_1436,2903.27,1655.81,1681.0,1539.74
load_balancing_1437,1034.47,1130.28,843.82,912.69
load_balancing_1438,1602.51,1439.32,1489.52,1369.57
load_balancing_1439,3600.02,724.65,2180.26,2026.71
load_balancing_144,3545.88,3428.92,3472.1,3600.04
load_balancing_1440,1053.93,1091.34,791.52,1021.66
