File Name,default,TreeCutLevel-1,RootCutLevel-1,StrongBranching-1
test_300_2_instance_422,0.0,0.0,0.0,0.0
test_300_32_instance_948,579.2,418.85,638.93,572.22
test_300_4_instance_144,0.16,0.15,0.17,0.19
test_300_4_instance_24,0.15,0.17,0.15,0.16
test_300_4_instance_311,0.26,0.25,0.21,0.25
test_300_4_instance_321,0.19,0.17,0.2,0.19
test_300_4_instance_396,0.39,0.36,0.35,0.41
test_300_4_instance_446,0.31,0.44,0.29,0.29
test_300_4_instance_452,0.18,0.17,0.15,0.17
test_300_4_instance_459,0.05,0.05,0.06,0.05
test_300_4_instance_498,0.15,0.15,0.14,0.16
test_300_4_instance_567,0.21,0.21,0.21,0.21
test_300_4_instance_602,0.11,0.11,0.1,0.11
test_300_4_instance_604,0.24,0.25,0.26,0.26
test_300_4_instance_70,0.14,0.15,0.16,0.15
test_300_4_instance_754,0.28,0.26,0.33,0.28
test_300_4_instance_760,0.11,0.1,0.11,0.1
test_300_4_instance_779,0.26,0.24,0.23,0.22
test_300_4_instance_791,0.1,0.09,0.1,0.1
test_300_4_instance_844,0.3,0.26,0.24,0.3
test_300_4_instance_911,0.16,0.16,0.16,0.16
test_300_4_instance_923,0.16,0.16,0.14,0.17
test_300_64_instance_102,0.32,0.31,0.31,0.3
test_300_64_instance_11,0.29,0.27,0.29,0.26
test_300_64_instance_12,0.32,0.29,0.31,0.3
test_300_64_instance_132,0.31,0.33,0.3,0.3
test_300_64_instance_133,0.3,0.33,0.34,0.33
test_300_64_instance_166,0.39,0.38,0.42,0.39
test_300_64_instance_187,0.29,0.28,0.3,0.29
test_300_64_instance_191,0.3,0.27,0.32,0.31
test_300_64_instance_214,0.32,0.3,0.29,0.29
test_300_64_instance_241,0.33,0.31,0.34,0.3
test_300_64_instance_262,0.26,0.27,0.3,0.29
test_300_64_instance_344,0.29,0.26,0.29,0.24
test_300_64_instance_37,0.25,0.26,0.26,0.23
test_300_64_instance_387,0.32,0.43,0.39,0.35
test_300_64_instance_450,0.3,0.28,0.29,0.29
test_300_64_instance_497,0.3,0.31,0.28,0.28
test_300_64_instance_549,0.28,0.31,0.34,0.3
test_300_64_instance_562,0.3,0.27,0.25,0.32
test_300_64_instance_57,0.27,0.27,0.25,0.24
test_300_64_instance_648,0.27,0.27,0.25,0.25
test_300_64_instance_704,0.27,0.27,0.31,0.28
test_300_64_instance_747,0.27,0.26,0.26,0.25
test_300_64_instance_757,0.26,0.26,0.24,0.25
test_300_64_instance_779,0.27,0.28,0.27,0.3
test_300_64_instance_791,0.32,0.28,0.33,0.3
test_300_64_instance_861,0.26,0.25,0.24,0.27
test_300_64_instance_862,0.29,0.28,0.3,0.29
test_300_64_instance_927,0.28,0.29,0.29,0.3
test_300_8_instance_146,17.03,13.09,15.92,15.36
test_300_8_instance_149,26.72,26.93,29.33,30.4
test_300_8_instance_151,5.87,4.08,4.89,5.96
test_300_8_instance_2,14.63,14.11,10.9,13.94
test_300_8_instance_380,6.39,5.27,7.65,6.63
test_300_8_instance_487,9.49,7.27,6.81,9.06
test_300_8_instance_582,13.32,12.37,11.43,12.9
test_300_8_instance_596,8.04,6.61,8.98,7.83
test_300_8_instance_602,6.15,4.7,5.41,6.28
test_300_8_instance_611,2.88,2.57,2.4,2.8
test_300_8_instance_618,25.77,26.31,23.19,24.46
test_300_8_instance_634,6.31,6.26,8.04,6.19
test_300_8_instance_819,15.25,15.09,20.81,14.71
test_300_8_instance_824,14.0,11.37,13.69,13.83
test_300_8_instance_893,9.55,6.76,8.27,9.15
test_300_8_instance_943,28.03,32.97,34.88,27.55
test_300_8_instance_946,10.36,9.56,9.88,9.91
test_300_8_instance_962,3.9,4.33,4.74,3.55
test_4800_2_instance_260,0.0,0.0,0.0,0.0
test_4800_2_instance_624,0.0,0.0,0.0,0.0
test_4800_2_instance_640,0.01,0.01,0.01,0.01
test_4800_2_instance_691,0.01,0.01,0.01,0.01
test_600_4_instance_105,0.66,0.69,0.66,0.71
test_600_4_instance_133,1.49,1.28,1.55,1.46
test_600_4_instance_238,3.16,3.26,3.21,3.09
test_600_4_instance_24,0.85,0.73,0.76,0.84
test_600_4_instance_240,0.73,0.71,0.55,0.72
test_600_4_instance_327,0.49,0.41,0.4,0.49
test_600_4_instance_351,0.85,0.9,1.04,0.79
test_600_4_instance_361,0.34,0.39,0.37,0.34
test_600_4_instance_366,0.15,0.17,0.18,0.17
test_600_4_instance_377,0.83,0.72,0.77,0.79
